Policy,Episode,TotalTime,TasksCreated,TasksAccepted,TasksDropped,TasksCompleted,TotalReward,AvgQueueTime,LoadImbalance,ServerFrequencies
DQN_New,59,0.0428,300,151,42,109,-781.28,260.43,1.70,"[41.67, 25.67, 32.67]"
DQN_New,60,0.0443,300,155,42,113,-792.99,264.33,2.36,"[37.0, 30.33, 32.67]"
DQN_New,61,0.0443,300,153,41,112,-776.80,258.93,2.45,"[39.0, 26.0, 35.0]"
DQN_New,62,0.0437,300,148,38,110,-792.70,264.23,1.70,"[42.0, 27.0, 31.0]"
DQN_New,63,0.0454,300,155,42,113,-785.24,261.75,0.82,"[28.0, 30.0, 42.0]"
DQN_New,64,0.0494,300,154,41,113,-790.50,263.50,2.05,"[36.0, 28.67, 35.33]"
DQN_New,65,0.0477,300,149,42,107,-791.71,263.90,2.16,"[31.0, 29.67, 39.33]"
DQN_New,66,0.0492,300,150,38,112,-776.79,258.93,1.25,"[29.0, 36.67, 34.33]"
DQN_New,67,0.0494,300,150,42,108,-786.77,262.26,0.47,"[37.67, 27.67, 34.67]"
DQN_New,68,0.0423,300,151,38,113,-789.04,263.01,1.89,"[35.67, 27.67, 36.67]"
DQN_New,69,0.0436,300,148,39,109,-794.33,264.78,3.40,"[38.67, 29.0, 32.33]"
DQN_New,70,0.0510,300,160,45,115,-781.22,260.41,1.41,"[32.67, 31.0, 36.33]"
DQN_New,71,0.0453,300,153,40,113,-779.55,259.85,1.70,"[31.67, 30.33, 38.0]"
DQN_New,72,0.0447,300,146,40,106,-798.25,266.08,1.63,"[39.67, 22.0, 38.33]"
DQN_New,73,0.0435,300,146,41,105,-784.66,261.55,3.09,"[36.0, 31.0, 33.0]"
DQN_New,74,0.0568,300,154,41,113,-786.14,262.05,2.16,"[42.67, 25.67, 31.67]"
DQN_New,75,0.0475,300,149,40,109,-786.88,262.29,2.87,"[29.33, 27.33, 43.33]"
DQN_New,76,0.0424,300,151,41,110,-785.94,261.98,1.25,"[43.0, 25.33, 31.67]"
DQN_New,77,0.0443,300,153,41,112,-786.80,262.27,1.70,"[36.33, 29.67, 34.0]"
DQN_New,78,0.0440,300,153,44,109,-780.22,260.07,1.70,"[37.0, 28.33, 34.67]"
DQN_New,79,0.0561,300,152,39,113,-780.24,260.08,1.25,"[35.0, 24.67, 40.33]"
DQN_New,80,0.0585,300,155,39,116,-771.84,257.28,0.82,"[33.33, 32.33, 34.33]"
DQN_New,81,0.0544,300,154,42,112,-786.99,262.33,1.70,"[35.33, 28.67, 36.0]"
DQN_New,82,0.0560,300,151,42,109,-788.34,262.78,1.25,"[37.33, 24.67, 38.0]"
DQN_New,83,0.0695,300,148,41,107,-792.51,264.17,1.25,"[32.33, 25.33, 42.33]"
DQN_New,84,0.0498,300,153,43,110,-781.08,260.36,1.63,"[33.0, 26.67, 40.33]"
DQN_New,85,0.0491,300,153,42,111,-794.72,264.91,2.36,"[38.0, 26.67, 35.33]"
DQN_New,86,0.0446,300,152,43,109,-790.58,263.53,2.45,"[32.0, 29.67, 38.33]"
DQN_New,87,0.0543,300,154,39,115,-787.98,262.66,2.45,"[39.67, 27.67, 32.67]"
DQN_New,88,0.0428,300,156,43,113,-788.96,262.99,2.16,"[34.33, 34.0, 31.67]"
DQN_New,89,0.0432,300,152,42,110,-784.57,261.52,3.56,"[38.33, 28.33, 33.33]"
DQN_New,90,0.0451,300,146,36,110,-786.22,262.07,0.94,"[38.33, 25.67, 36.0]"
DQN_New,91,0.0517,300,156,42,114,-783.17,261.06,2.87,"[33.67, 32.0, 34.33]"
DQN_New,92,0.0521,300,155,43,112,-782.83,260.94,2.87,"[32.33, 34.33, 33.33]"
DQN_New,93,0.0485,300,153,40,113,-782.30,260.77,2.05,"[35.67, 30.67, 33.67]"
DQN_New,94,0.0442,300,152,43,109,-780.48,260.16,1.63,"[34.33, 22.0, 43.67]"
DQN_New,95,0.0440,300,161,41,120,-780.75,260.25,0.47,"[39.33, 28.67, 32.0]"
DQN_New,96,0.0524,300,156,43,113,-783.14,261.05,2.05,"[36.33, 26.67, 37.0]"
DQN_New,97,0.0540,300,155,41,114,-784.10,261.37,2.05,"[32.0, 28.33, 39.67]"
DQN_New,98,0.0493,300,153,41,112,-789.29,263.10,3.09,"[31.33, 31.0, 37.67]"
DQN_New,99,0.0494,300,151,41,110,-792.46,264.15,0.47,"[35.33, 31.0, 33.67]"
RoundRobin,0,0.0057,300,145,38,107,-780.39,260.13,1.63,"[33.33, 33.33, 33.33]"
RoundRobin,1,0.0054,300,145,39,106,-781.49,260.50,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,2,0.0058,300,146,41,105,-785.08,261.69,2.83,"[33.33, 33.33, 33.33]"
RoundRobin,3,0.0079,300,146,38,108,-780.04,260.01,2.36,"[33.33, 33.33, 33.33]"
RoundRobin,4,0.0055,300,147,43,104,-778.02,259.34,0.82,"[33.33, 33.33, 33.33]"
RoundRobin,5,0.0052,300,138,35,103,-774.65,258.22,5.44,"[33.33, 33.33, 33.33]"
RoundRobin,6,0.0061,300,140,37,103,-780.34,260.11,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,7,0.0069,300,141,37,104,-787.16,262.39,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,8,0.0055,300,146,39,107,-780.88,260.29,1.41,"[33.33, 33.33, 33.33]"
RoundRobin,9,0.0055,300,141,33,108,-769.73,256.58,2.62,"[33.33, 33.33, 33.33]"
RoundRobin,10,0.0051,300,139,36,103,-787.86,262.62,3.68,"[33.33, 33.33, 33.33]"
RoundRobin,11,0.0050,300,146,37,109,-776.54,258.85,2.87,"[33.33, 33.33, 33.33]"
RoundRobin,12,0.0070,300,142,36,106,-782.67,260.89,2.94,"[33.33, 33.33, 33.33]"
RoundRobin,13,0.0053,300,147,40,107,-781.07,260.36,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,14,0.0050,300,156,42,114,-772.99,257.66,1.41,"[33.33, 33.33, 33.33]"
RoundRobin,15,0.0055,300,148,42,106,-783.03,261.01,3.86,"[33.33, 33.33, 33.33]"
RoundRobin,16,0.0050,300,147,40,107,-778.45,259.48,1.41,"[33.33, 33.33, 33.33]"
RoundRobin,17,0.0050,300,142,34,108,-777.39,259.13,3.40,"[33.33, 33.33, 33.33]"
RoundRobin,18,0.0052,300,145,39,106,-778.09,259.36,0.00,"[33.33, 33.33, 33.33]"
RoundRobin,19,0.0050,300,149,37,112,-770.61,256.87,2.94,"[33.33, 33.33, 33.33]"
RoundRobin,20,0.0068,300,145,39,106,-783.34,261.11,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,21,0.0050,300,146,39,107,-783.96,261.32,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,22,0.0049,300,146,37,109,-776.54,258.85,2.16,"[33.33, 33.33, 33.33]"
RoundRobin,23,0.0056,300,147,38,109,-778.16,259.39,0.82,"[33.33, 33.33, 33.33]"
RoundRobin,24,0.0051,300,142,39,103,-783.78,261.26,3.56,"[33.33, 33.33, 33.33]"
RoundRobin,25,0.0050,300,142,39,103,-784.97,261.66,1.89,"[33.33, 33.33, 33.33]"
RoundRobin,26,0.0067,300,140,34,106,-774.55,258.18,3.40,"[33.33, 33.33, 33.33]"
RoundRobin,27,0.0069,300,149,40,109,-786.29,262.10,3.30,"[33.33, 33.33, 33.33]"
RoundRobin,28,0.0060,300,143,40,103,-780.27,260.09,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,29,0.0071,300,146,37,109,-785.67,261.89,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,30,0.0062,300,146,39,107,-784.24,261.41,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,31,0.0074,300,143,37,106,-787.96,262.65,2.87,"[33.33, 33.33, 33.33]"
RoundRobin,32,0.0065,300,146,40,106,-787.29,262.43,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,33,0.0063,300,147,38,109,-778.80,259.60,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,34,0.0066,300,148,42,106,-785.78,261.93,1.63,"[33.33, 33.33, 33.33]"
RoundRobin,35,0.0057,300,147,38,109,-785.02,261.67,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,36,0.0075,300,141,37,104,-784.60,261.53,0.94,"[33.33, 33.33, 33.33]"
RoundRobin,37,0.0066,300,144,38,106,-776.47,258.82,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,38,0.0069,300,143,39,104,-772.38,257.46,1.63,"[33.33, 33.33, 33.33]"
RoundRobin,39,0.0066,300,150,41,109,-772.64,257.55,2.87,"[33.33, 33.33, 33.33]"
RoundRobin,40,0.0052,300,142,37,105,-777.99,259.33,0.82,"[33.33, 33.33, 33.33]"
RoundRobin,41,0.0075,300,147,39,108,-776.06,258.69,2.94,"[33.33, 33.33, 33.33]"
RoundRobin,42,0.0064,300,146,39,107,-784.83,261.61,3.30,"[33.33, 33.33, 33.33]"
RoundRobin,43,0.0064,300,145,38,107,-779.96,259.99,2.87,"[33.33, 33.33, 33.33]"
RoundRobin,44,0.0051,300,150,41,109,-779.71,259.90,3.30,"[33.33, 33.33, 33.33]"
RoundRobin,45,0.0061,300,149,39,110,-782.54,260.85,1.89,"[33.33, 33.33, 33.33]"
RoundRobin,46,0.0061,300,146,40,106,-779.26,259.75,3.09,"[33.33, 33.33, 33.33]"
RoundRobin,47,0.0051,300,144,39,105,-775.60,258.53,0.94,"[33.33, 33.33, 33.33]"
RoundRobin,48,0.0061,300,149,40,109,-769.98,256.66,3.40,"[33.33, 33.33, 33.33]"
